Store,Product,Category,CurrentStock,Demand,Price,HoldingCost,TransferCost,Location
Patna,Cooking Oil,Grocery,55,202,160.43,4.5,500,Patna
Raipur,Cooking Oil,Grocery,159,101,166.49,4.5,500,Raipur
Vijayawada,Rice,Grocery,47,199,65.03,2.5,350,Vijayawada
Hyderabad,Soap,Personal Care,89,247,36.94,1.0,200,Hyderabad
Bhopal,Soft Drink,Beverages,40,248,44.28,1.5,220,Bhopal
Chennai,Pulses,Grocery,206,61,118.56,2.8,320,Chennai
Jaipur,Detergent,Household,247,55,132.99,2.9,310,Jaipur
Indore,Cooking Oil,Grocery,200,120,161.59,4.5,500,Indore
Patna,Toothpaste,Personal Care,229,58,90.69,1.7,250,Patna
Delhi,Namkeen,Snacks,200,79,62.2,1.2,190,Delhi
Lucknow,Soft Drink,Beverages,273,70,44.42,1.5,220,Lucknow
Pune,Deodorant,Personal Care,198,71,150.51,2.5,340,Pune
Delhi,Salt,Grocery,277,84,23.08,0.7,150,Delhi
Patna,Biscuits,Snacks,118,177,24.56,0.8,150,Patna
Vijayawada,Coffee,Beverages,60,242,273.5,5.5,650,Vijayawada
Pune,Toilet Cleaner,Household,130,117,86.32,1.6,220,Pune
Lucknow,Dish Wash,Household,148,108,63.47,1.4,200,Lucknow
Delhi,Chips,Snacks,158,123,20.49,0.6,140,Delhi
Chandigarh,Dish Wash,Household,141,136,63.18,1.4,200,Chandigarh
Chennai,Yogurt,Dairy,203,56,41.44,1.6,210,Chennai
Chennai,Hand Wash,Personal Care,74,156,74.14,1.5,230,Chennai
Surat,Cheese,Dairy,122,160,93.25,2.6,300,Surat
Hyderabad,Deodorant,Personal Care,104,177,155.77,2.5,340,Hyderabad
Noida,Namkeen,Snacks,133,104,58.76,1.2,190,Noida
Mumbai,Cheese,Dairy,53,268,92.36,2.6,300,Mumbai
Nagpur,Toilet Cleaner,Household,58,269,85.93,1.6,220,Nagpur
Chennai,Milk,Dairy,89,275,33.34,1.8,220,Chennai
Surat,Energy Drink,Beverages,184,64,114.72,2.3,280,Surat
Kolkata,Coffee,Beverages,50,160,268.4,5.5,650,Kolkata
Coimbatore,Instant Noodles,Snacks,88,172,28.89,0.9,160,Coimbatore
Coimbatore,Soap,Personal Care,53,275,39.42,1.0,200,Coimbatore
Chandigarh,Pulses,Grocery,178,115,122.56,2.8,320,Chandigarh
Lucknow,Deodorant,Personal Care,137,146,155.99,2.5,340,Lucknow
Kochi,Cooking Oil,Grocery,48,156,162.33,4.5,500,Kochi
Bhopal,Soap,Personal Care,48,141,36.37,1.0,200,Bhopal
